LINE,OD1,OD10,OD11,OD12,OD13,OD14,OD15,OD16,OD17,OD18,OD19,OD2,OD20,OD3,OD4,OD5,OD6,OD7,OD8,OD9,YD1,YD10,YD11,YD12,YD14,YD15,YD16,YD17,YD18,YD19,YD2,YD20,YD21,YD3,YD4,YD5,YD6,YD7,YD8,YD9
CR1_Mam,0.8453875204137179,0.880613230235541,0.8971759075251724,0.8958545164800993,0.8793732670979669,0.8884394421476437,0.8461097788772214,0.8539893464566002,0.8760369742409159,0.8818634883198564,0.880544099689165,0.8633405474964904,0.8885114914021165,0.8964026607963247,0.8472034151193635,0.8985632125407168,0.8744784928848639,0.8764215923772608,0.851606081838565,0.8418507253158635,0.8705623766237903,0.8560089066339069,0.852554828590928,0.8787562650966183,0.9042686757840828,0.8793542013311151,0.9133613376452944,0.8787734536082475,0.8841550099206347,0.8766193181818183,0.8609582174316177,0.9082891120507398,0.8665076054955839,0.8487308735994398,0.8702812349324978,0.8931479542525773,0.8674202935222672,0.8761844231725507,0.8729238491067258,0.8577880555555556
HAL1,0.8490517197476777,0.8484479574205741,0.8699904191570406,0.8626013031650562,0.8424642855016454,0.8506147646727047,0.8421905101912391,0.858584178349212,0.8473661117078795,0.8520199307638294,0.8676498914561742,0.855699375429657,0.8593817003672238,0.8571330415362902,0.8447838283139246,0.8629180159428552,0.8525247766853924,0.8830561677225748,0.8451530174723787,0.8435425912253124,0.857115840899143,0.8482243878637992,0.8495220230665363,0.8446135370926874,0.8921059129735067,0.8639655964086203,0.8624661950080065,0.8581343057715572,0.857042788769107,0.8498693828197972,0.8411876342446883,0.8568180349636205,0.8482285119067495,0.8548403362238202,0.8487595903466231,0.852902699612561,0.8542472890370425,0.853969424547495,0.8487645673580808,0.8489702961728853
HAL1-2a_MD,0.875,0.95,0.986875,1.0,0.9375,1.0,0.92125,0.9656250000000001,1.0,0.895,0.918125,0.97,0.96125,0.9668749999999999,0.94,1.0,0.96875,0.9662499999999999,1.0,0.97875,1.0,0.9850000000000001,0.9456249999999999,0.97,1.0,1.0,0.9493749999999999,0.9331250000000001,1.0,0.9618749999999999,0.9443750000000001,0.9412499999999999,0.9793750000000001,0.97,0.9793750000000001,0.9612499999999999,0.97625,0.97875,0.9787500000000001,0.986875
HAL1-3A_ME,0.9348408410904254,0.9342886800699303,0.9156718540829984,0.9649556107954547,0.908296996124031,0.9703677277716795,0.9547784251412428,0.9657640689834026,0.9325463743676222,0.9391683851522845,0.9535108511154219,0.922009240395809,0.9462980769230767,0.926462023160763,0.9483001077586206,0.9614072229140723,0.9313503649635037,0.9660397376543209,0.9216106396866841,0.942785465542522,0.9453141276041669,0.9308577044025157,0.9482536764705882,0.9610176161919042,0.9342612847222224,0.9429993523316063,0.9471890729865771,0.9173211331679075,0.9510135869565217,0.9413834347345134,0.9170055171277998,0.9590268292682926,0.9231574027916252,0.9490506628787879,0.9298175125313285,0.9380497955607475,0.9164287644092217,0.913597537878788,0.9373600000000001,0.9338070692194402
HAL1b,0.7468390383656296,0.8153968789291698,0.7899045037261352,0.7863844573176723,0.7821430633935991,0.7860190411121672,0.8087592482274577,0.8270278946112444,0.7749594944672269,0.7785984651467541,0.8145997010988912,0.809402579034942,0.8007114676115893,0.8035793866852226,0.7974185606523075,0.8182809039380634,0.8004742033199065,0.8787680610558601,0.8041288346033417,0.8001836189960347,0.8196184686696916,0.7872084626465436,0.8246364732174679,0.7974528421217248,0.8775778667355368,0.8203777333995003,0.8153815480720448,0.8008111301662942,0.8323001654809717,0.847041366521799,0.7755565287476378,0.8119261946562039,0.7410931183857621,0.7619997646988146,0.8009034307514737,0.7804439350060062,0.8027010207215829,0.8112611174815801,0.7964566554266576,0.7756427404399417
L1HS,0.5878025265957447,0.8432929104477611,0.8954293291284404,0.8768320497630332,0.801985,0.7330428558142007,0.7682066820157286,0.8502937659438776,0.8475764237855946,0.8647118340163933,0.764141654314888,0.7886625884433963,0.8055883487654321,0.8357064128256513,0.7978034722222221,0.7528695575842697,0.7675569058641974,0.8103984375000001,0.7709270127770935,0.6836324626865672,0.831530777537797,0.7348765060240964,0.6765888247282608,0.785155056914593,0.9098127864950635,0.8801092829076621,0.8781049166298586,0.7691134616452043,0.8168765739468864,0.7400632045755969,0.7631137001246884,0.8586458333333333,0.8745455677290838,0.8177766927083333,0.8344930069930069,0.7828448705179283,0.7053362165178572,0.8660148437499998,0.8316485484279919,0.7992079628661086
L1M,0.8184315286624204,0.8901146415270018,0.8139268342391305,0.798085330939441,0.8802494456762749,0.7473114079301076,0.8820453222049689,0.7683666950596252,0.7640121875,0.8686218826034063,0.7808459944751382,0.8058552631578948,0.8423160656307976,0.8615037950664136,0.8431044708029197,0.8384861381322958,0.8419312005928854,0.8653105867346939,0.8188197659465022,0.8497536057692306,0.8259084008097165,0.8187232191593884,0.9160830573951435,0.8286560901534528,0.879492243543759,0.8018192754424779,0.7837039877300613,0.8493338679635761,0.8868362958715595,0.8614845717884131,0.8346634615384615,0.8026645342415316,0.7088400874291113,0.8382690363881402,0.8711689751637555,0.8976609347442681,0.8186639583333334,0.8531949800531914,0.842826211734694,0.7538914513221153
L1M1,0.8463685328830174,0.8534074232147236,0.8870942502063389,0.8762767221937199,0.860726779464591,0.854690766059513,0.8191549472426815,0.8626498929645917,0.8610261477581148,0.8710440023374938,0.8812118644952981,0.861042868322755,0.8614434167094813,0.844664196589325,0.8569463485879519,0.8604908186271581,0.8495478957237257,0.8821492757044537,0.8365716511683337,0.8545931565144292,0.8723523782567705,0.8766725496671093,0.8553083392670293,0.8540520058169007,0.8968231565350411,0.8715825511196945,0.8840567760786225,0.8710478873220573,0.8675608140570645,0.871826478976532,0.8458861729295878,0.879086092688136,0.8604969675733661,0.846585579921547,0.8632415300102821,0.8553992804763428,0.8694446479512438,0.8745874773250314,0.8540670460453935,0.8491047100201702
L1M2,0.3352581750980674,0.401393828250749,0.49674064379902816,0.41577691043845316,0.32503597530172,0.30725680610897765,0.29337694199187153,0.35890374966074035,0.3114783730973883,0.29104624453464917,0.3319937214774248,0.3104664141461712,0.296938071271876,0.29423752203271347,0.38364507401374054,0.269912075150702,0.24198563048707786,0.4223366269677419,0.2746624072558802,0.2623819661196811,0.40406920561757287,0.34120886618611784,0.3572044804212361,0.3688250826230772,0.5457411654118595,0.35137599284366317,0.4351940003497264,0.3744296355337264,0.3454975167853858,0.33181825848561525,0.267612469343343,0.42273584748791565,0.377718061280244,0.3086416091422639,0.2543425208055519,0.24461945634218824,0.2519627092279388,0.3446666211234389,0.27121542691146494,0.32385616198600015
L1M2a,0.8343037041083917,0.8387298164776309,0.8842311339009289,0.8695788468070653,0.850931337733957,0.8249938858695652,0.8189868151326946,0.8648102736821502,0.8099331843916521,0.813622871143959,0.8579255627357008,0.7980070542774982,0.8304056510770016,0.8360839072935643,0.7973339133522729,0.8360074665245362,0.8241159885761074,0.8673036553141517,0.8005303213146407,0.7979929514632406,0.8321637228260871,0.844742836453656,0.8325528697666438,0.8404083706926865,0.8981298307955072,0.8947307146542827,0.8817486187359233,0.8711237811700764,0.8328833315122377,0.8112088020564724,0.8111033536860127,0.8808675432124788,0.8307656369640121,0.8625019802517361,0.8303501273380095,0.8051997954792185,0.8282482599199867,0.8227818441064638,0.8227087009602758,0.8271737722562754
